NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 26868 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.149000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 13638 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.044000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 16284 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.055000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 16284 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.056000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 14520 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.046000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 13638 | VIRUSES FOUND AND FIXED: 89 | TIME TAKEN: 0.039000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 26867 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.219000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 13637 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.037000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 16283 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.054000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 16283 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.052000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 14519 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.042000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 13637 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.040000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 26867 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.140000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 13637 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.039000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 16283 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.061000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 16283 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.054000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 14519 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.047000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 13637 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.069000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 27247 | VIRUSES FOUND AND FIXED: 6 | TIME TAKEN: 0.142000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 14017 | VIRUSES FOUND AND FIXED: 5 | TIME TAKEN: 0.045000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 16663 | VIRUSES FOUND AND FIXED: 5 | TIME TAKEN: 0.056000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 16663 | VIRUSES FOUND AND FIXED: 5 | TIME TAKEN: 0.063000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 14899 | VIRUSES FOUND AND FIXED: 5 | TIME TAKEN: 0.054000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 14017 | VIRUSES FOUND AND FIXED: 5 | TIME TAKEN: 0.041000 s

NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 27247 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.141000 s

NAME: axxx.txt | PATH: .\folder\axxx.txt | CHARACTER SIZE: 14017 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.039000 s

NAME: file2.txt | PATH: .\folder\bc\file2.txt | CHARACTER SIZE: 16663 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.056000 s

NAME: asdf.txt | PATH: .\folder\bc\New folder\asdf.txt | CHARACTER SIZE: 16663 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.061000 s

NAME: New Text Document.txt | PATH: .\folder\bc\New Text Document.txt | CHARACTER SIZE: 14899 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.046000 s

NAME: dev.txt | PATH: .\folder\dev.txt | CHARACTER SIZE: 14017 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.041000 s



NAME: axxx - Copy.txt | PATH: .\folder\axxx - Copy.txt | CHARACTER SIZE: 27246 | VIRUSES FOUND AND FIXED: 0 | TIME TAKEN: 0.142000 s

